project_id,task_id,start_date,due_date,finish_date,task_type,phase,department,complexity,risk_level,estimated_effort_hours,actual_effort_hours,budget_allocated,budget_used,satisfaction_rating,delay_days,completed
P07,T0001,2024-05-18,2024-06-12,2024-06-22,Development,Execution,IT,1,Low,62,75,9734,9920.88,5,10,1
P04,T0002,2024-05-23,2024-06-14,2024-06-19,Deployment,Execution,Marketing,4,Low,145,150,1845,2060.89,7,5,1
P08,T0003,2024-04-06,2024-05-15,2024-05-25,Development,Planning,Finance,4,High,69,84,6777,4706.84,6,10,1
P05,T0004,2024-05-03,2024-05-31,2024-05-31,Testing,Planning,IT,3,Low,48,64,4036,2565.96,7,0,1
P07,T0005,2024-03-10,2024-04-05,2024-05-01,Testing,Closure,IT,2,High,58,84,6947,7751.96,7,26,0
P10,T0006,2024-04-02,2024-06-13,2024-07-08,Testing,Closure,Marketing,5,Low,190,183,3494,3355.26,9,25,0
P03,T0007,2024-01-03,2024-01-31,2024-02-24,Testing,Planning,Operations,5,Low,197,210,3719,2668.94,7,24,0
P07,T0008,2024-05-27,2024-08-02,2024-08-10,Analysis,Planning,IT,5,Low,170,178,2884,2940.65,7,8,1
P08,T0009,2024-06-12,2024-08-15,2024-08-24,Deployment,Closure,IT,3,Medium,191,216,5349,5726.55,8,9,1
P05,T0010,2024-05-26,2024-08-05,2024-08-12,Development,Execution,Finance,4,Low,57,85,6179,5749.47,6,7,1
P04,T0011,2024-03-30,2024-05-01,2024-05-31,Development,Planning,HR,3,High,103,102,7610,7469.36,8,30,0
P08,T0012,2024-05-26,2024-06-13,2024-06-16,Testing,Closure,Marketing,5,Low,170,184,7430,5666.73,8,3,1
P08,T0013,2024-05-27,2024-06-17,2024-06-21,Testing,Execution,Marketing,2,High,147,154,8154,7151.77,5,4,1
P03,T0014,2024-04-05,2024-04-15,2024-05-05,Design,Planning,Operations,1,Low,145,153,7488,6491.43,8,20,0
P06,T0015,2024-02-21,2024-04-28,2024-04-18,Deployment,Execution,Operations,4,High,64,89,5737,6274.18,9,-10,1
P05,T0016,2024-06-09,2024-06-19,2024-06-11,Analysis,Closure,Marketing,4,Medium,71,70,7525,8187.01,9,-8,1
P02,T0017,2024-06-16,2024-07-29,2024-08-03,Development,Planning,Operations,3,Medium,99,121,4850,5251.95,5,5,1
P08,T0018,2024-05-07,2024-07-03,2024-07-15,Design,Execution,Finance,4,High,197,191,1689,857.54,10,12,1
P06,T0019,2024-02-08,2024-02-18,2024-02-18,Design,Planning,Marketing,5,Medium,143,167,6175,6327.41,6,0,1
P02,T0020,2024-03-22,2024-04-16,2024-04-17,Development,Execution,Operations,5,Medium,138,161,9648,9947.8,6,1,1
P05,T0021,2024-04-13,2024-06-22,2024-06-21,Analysis,Closure,Marketing,3,Low,27,49,6078,5925.23,8,-1,1
P01,T0022,2024-05-08,2024-07-20,2024-08-10,Design,Closure,HR,5,Low,104,114,6448,6637.48,8,21,0
P10,T0023,2024-01-11,2024-03-23,2024-03-28,Design,Planning,IT,2,High,148,154,2179,2373.76,10,5,1
P06,T0024,2024-06-26,2024-09-12,2024-09-09,Deployment,Execution,Marketing,3,Medium,27,38,7406,6141.23,8,-3,1
P09,T0025,2024-05-30,2024-06-30,2024-07-27,Analysis,Planning,IT,2,Medium,176,202,9591,8166.11,6,27,0
P01,T0026,2024-06-07,2024-08-22,2024-08-23,Design,Planning,Operations,1,Low,115,119,7907,4643.78,7,1,1
P10,T0027,2024-02-11,2024-05-06,2024-05-19,Analysis,Execution,IT,2,Low,121,145,9800,7543.68,9,13,1
P03,T0028,2024-04-08,2024-05-13,2024-05-30,Development,Execution,Marketing,1,Low,24,41,2638,2507.04,7,17,0
P07,T0029,2024-01-07,2024-02-01,2024-01-29,Testing,Execution,HR,1,Medium,105,101,6671,6979.73,7,-3,1
P04,T0030,2024-05-23,2024-07-22,2024-08-08,Design,Closure,Operations,2,Low,194,215,7928,5169.42,6,17,0
P09,T0031,2024-03-30,2024-06-04,2024-06-29,Deployment,Planning,Marketing,3,Low,53,53,2382,1420.81,7,25,0
P03,T0032,2024-04-21,2024-05-29,2024-06-13,Development,Planning,Operations,5,Low,74,73,2403,2316.8,10,15,1
P05,T0033,2024-02-29,2024-05-26,2024-05-23,Analysis,Closure,Finance,5,Low,138,136,4292,2151.65,5,-3,1
P03,T0034,2024-04-22,2024-07-09,2024-07-26,Development,Execution,IT,1,Medium,190,193,1419,886.68,8,17,0
P07,T0035,2024-01-02,2024-02-27,2024-03-15,Design,Closure,Finance,1,Low,177,179,5517,2870.77,5,17,0
P05,T0036,2024-05-08,2024-07-18,2024-08-13,Analysis,Closure,Marketing,3,Medium,133,147,4302,2653.56,9,26,0
P09,T0037,2024-02-17,2024-05-05,2024-06-04,Testing,Closure,HR,4,Low,164,155,8857,5552.66,8,30,0
P07,T0038,2024-05-19,2024-08-12,2024-09-06,Development,Planning,Operations,2,Low,45,69,8870,6842.07,7,25,0
P02,T0039,2024-02-06,2024-03-02,2024-03-18,Design,Closure,IT,1,Low,155,151,6693,5231.44,9,16,0
P04,T0040,2024-06-08,2024-08-04,2024-08-10,Deployment,Planning,Operations,5,Low,66,76,1767,1964.88,8,6,1
P09,T0041,2024-01-09,2024-02-26,2024-02-24,Analysis,Planning,Marketing,3,Low,132,139,3044,2608.94,10,-2,1
P02,T0042,2024-04-08,2024-05-20,2024-06-11,Development,Planning,Operations,2,Low,95,87,2549,2565.27,10,22,0
P10,T0043,2024-05-26,2024-06-27,2024-07-06,Development,Execution,IT,3,Medium,91,119,7140,4090.48,10,9,1
P09,T0044,2024-02-17,2024-03-07,2024-03-09,Testing,Planning,Marketing,2,Low,108,108,4716,3102.22,10,2,1
P10,T0045,2024-05-10,2024-07-27,2024-08-13,Testing,Planning,Operations,2,Medium,65,93,5481,5437.48,7,17,0
P05,T0046,2024-05-27,2024-07-09,2024-07-27,Deployment,Execution,HR,1,High,52,65,8898,4777.89,5,18,0
P02,T0047,2024-05-31,2024-07-31,2024-08-02,Deployment,Planning,Marketing,3,Medium,20,28,7548,6344.99,8,2,1
P04,T0048,2024-02-23,2024-03-13,2024-04-06,Design,Closure,Marketing,3,Low,166,159,3293,3028.11,7,24,0
P07,T0049,2024-04-29,2024-05-27,2024-05-22,Design,Closure,HR,5,Low,50,65,5837,5378.81,10,-5,1
P08,T0050,2024-06-09,2024-08-15,2024-08-22,Deployment,Planning,Finance,5,Low,161,188,8758,4519.59,5,7,1
P03,T0051,2024-05-31,2024-06-10,2024-06-04,Deployment,Execution,IT,1,Low,72,93,7793,5653.63,9,-6,1
P01,T0052,2024-04-25,2024-07-12,2024-07-26,Analysis,Closure,Finance,1,High,67,95,8638,8167.6,9,14,1
P04,T0053,2024-03-15,2024-03-28,2024-03-19,Testing,Execution,Operations,4,Low,88,113,8993,5434.47,9,-9,1
P02,T0054,2024-04-22,2024-05-17,2024-05-16,Design,Execution,HR,5,Low,124,153,7007,6914.44,10,-1,1
P08,T0055,2024-06-12,2024-07-15,2024-08-03,Testing,Closure,Finance,2,Medium,109,135,6542,6686.89,9,19,0
P04,T0056,2024-06-14,2024-09-11,2024-09-05,Testing,Execution,Marketing,3,Medium,82,104,7356,8734.36,6,-6,1
P02,T0057,2024-04-13,2024-04-24,2024-05-16,Deployment,Closure,Operations,1,Medium,92,117,9433,6102.11,8,22,0
P06,T0058,2024-03-24,2024-05-04,2024-04-24,Analysis,Execution,Operations,3,Low,180,172,8380,9030.22,8,-10,1
P06,T0059,2024-04-21,2024-05-24,2024-05-31,Development,Closure,Finance,3,Low,188,186,3385,2925.34,10,7,1
P10,T0060,2024-04-08,2024-04-29,2024-05-20,Analysis,Planning,Finance,4,Medium,108,105,5268,4011.18,6,21,0
P04,T0061,2024-06-01,2024-07-30,2024-07-30,Analysis,Closure,HR,5,Low,195,217,1671,978.64,7,0,1
P06,T0062,2024-04-02,2024-05-16,2024-05-26,Testing,Closure,IT,1,Low,32,27,1163,1180.28,7,10,1
P02,T0063,2024-05-25,2024-07-06,2024-07-21,Analysis,Closure,Finance,3,Low,92,120,9656,6422.21,9,15,1
P10,T0064,2024-05-07,2024-06-18,2024-07-02,Design,Closure,Finance,1,Low,96,89,5592,4249.89,5,14,1
P02,T0065,2024-04-19,2024-06-28,2024-07-09,Testing,Execution,Marketing,2,Low,178,180,5795,3151.2,7,11,1
P10,T0066,2024-03-22,2024-05-21,2024-06-06,Design,Planning,Operations,4,Low,87,78,5798,6151.43,5,16,0
P04,T0067,2024-02-23,2024-04-15,2024-04-17,Development,Closure,IT,2,Medium,117,111,7036,7293.6,8,2,1
P08,T0068,2024-06-11,2024-07-02,2024-07-24,Testing,Execution,Marketing,1,Medium,144,160,3355,3400.4,5,22,0
P07,T0069,2024-06-17,2024-09-01,2024-09-24,Development,Planning,HR,1,High,121,142,6887,4887.09,8,23,0
P09,T0070,2024-06-09,2024-08-22,2024-09-21,Testing,Planning,HR,5,Low,151,161,8961,5568.69,6,30,0
P08,T0071,2024-03-08,2024-04-19,2024-05-13,Deployment,Planning,Finance,3,Low,121,118,6827,6460.3,6,24,0
P05,T0072,2024-02-02,2024-03-22,2024-03-12,Analysis,Planning,Finance,3,Low,38,65,9737,8250.32,10,-10,1
P02,T0073,2024-05-21,2024-08-12,2024-08-22,Deployment,Closure,HR,2,Medium,101,98,5719,3573.1,10,10,1
P05,T0074,2024-01-21,2024-03-13,2024-03-08,Development,Closure,Finance,4,Medium,160,152,1593,1561.36,9,-5,1
P08,T0075,2024-02-17,2024-04-10,2024-04-27,Analysis,Execution,IT,3,Low,42,34,5839,6970.53,7,17,0
P10,T0076,2024-05-27,2024-07-04,2024-07-10,Testing,Execution,Finance,5,High,102,113,8394,8587.51,9,6,1
P09,T0077,2024-05-07,2024-05-29,2024-05-23,Analysis,Execution,Operations,2,Low,128,123,4493,4573.83,8,-6,1
P09,T0078,2024-05-15,2024-06-05,2024-06-25,Design,Planning,Finance,2,Medium,94,85,7164,8347.63,9,20,0
P01,T0079,2024-05-14,2024-07-08,2024-07-02,Analysis,Planning,Marketing,5,Medium,148,160,3672,2357.63,5,-6,1
P09,T0080,2024-05-24,2024-06-04,2024-07-01,Design,Closure,IT,4,High,107,98,5200,4658.6,8,27,0
P07,T0081,2024-05-07,2024-06-20,2024-06-12,Analysis,Planning,Marketing,5,Medium,73,100,1016,1204.72,10,-8,1
P09,T0082,2024-02-02,2024-02-19,2024-03-02,Design,Planning,Marketing,4,High,108,114,4191,2580.42,6,12,1
P08,T0083,2024-06-24,2024-07-29,2024-08-24,Development,Planning,Operations,5,Low,162,186,1392,1378.33,10,26,0
P01,T0084,2024-04-24,2024-07-16,2024-08-11,Deployment,Execution,IT,5,High,84,107,9616,8751.21,7,26,0
P08,T0085,2024-04-28,2024-06-10,2024-06-09,Testing,Execution,IT,1,Low,95,107,7272,6621.41,8,-1,1
P08,T0086,2024-01-22,2024-02-07,2024-02-06,Analysis,Closure,IT,2,High,162,181,1571,1552.73,8,-1,1
P03,T0087,2024-06-06,2024-08-22,2024-08-30,Deployment,Planning,IT,5,Medium,168,165,4631,5329.04,5,8,1
P01,T0088,2024-02-07,2024-04-14,2024-04-20,Testing,Planning,IT,5,High,166,177,7172,7514.87,7,6,1
P08,T0089,2024-04-18,2024-07-11,2024-07-21,Testing,Closure,Operations,3,Low,79,104,8177,4409.82,6,10,1
P03,T0090,2024-02-20,2024-03-29,2024-04-01,Design,Planning,Finance,2,Medium,112,106,9433,10347.15,8,3,1
P03,T0091,2024-01-08,2024-02-22,2024-02-20,Development,Planning,Marketing,3,Medium,180,182,4897,3221.63,8,-2,1
