program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
1,44,0.02,395.8,1
2,17,0.309,481.57,1
3,21,0.359,327.38,1
4,54,0.26,291.67,1
5,7,0.063,60.56,0
6,49,0.079,101.41,0
7,49,0.209,336.18,1
8,18,0.425,163.29,0
9,30,0.035,118.19,0
10,50,0.042,195.75,0
11,10,0.473,231.21,0
12,54,0.063,148.35,0
13,50,0.228,415.5,1
14,17,0.369,98.94,0
15,50,0.075,129.77,0
16,53,0.111,395.17,1
17,26,0.478,383.69,1
18,24,0.081,292.59,1
19,6,0.265,273.7,0
20,34,0.403,251.54,0
21,16,0.295,320.04,1
22,12,0.132,139.58,0
23,26,0.144,410.14,1
24,50,0.097,423.75,1
25,38,0.209,311.04,1
26,53,0.056,259.5,1
27,2,0.134,266.79,0
28,29,0.382,88.78,0
29,29,0.264,377.28,1
30,33,0.486,269.67,0
31,52,0.252,366.41,1
32,13,0.006,295.62,1
33,18,0.229,375.1,1
34,47,0.288,423.43,1
35,6,0.459,374.82,1
36,4,0.175,277.58,0
37,43,0.014,462.32,1
38,55,0.022,112.13,0
39,40,0.089,497.95,1
40,23,0.184,141.05,0
41,50,0.183,219.74,0
42,25,0.05,475.32,1
43,18,0.461,141.16,0
44,16,0.033,402.65,1
45,37,0.055,56.5,0
46,59,0.004,29.79,0
47,18,0.032,360.13,1
48,33,0.04,259.24,0
49,24,0.376,232.2,0
50,18,0.247,73.01,0
51,39,0.054,124.65,0
52,23,0.263,152.67,0
53,2,0.049,385.87,1
54,47,0.18,37.14,0
55,22,0.412,411.23,1
56,41,0.04,258.64,0
57,56,0.313,48.1,0
58,33,0.169,205.06,0
59,25,0.298,249.99,0
60,25,0.287,112.86,0
61,51,0.385,420.71,1
62,6,0.154,397.04,1
63,51,0.326,219.65,0
64,33,0.192,435.12,1
65,12,0.204,495.04,1
66,32,0.386,61.37,0
67,44,0.355,107.11,0
68,59,0.492,195.87,0
69,45,0.389,134.11,0
70,25,0.468,371.16,1
71,13,0.328,213.44,0
72,48,0.474,237.52,0
73,8,0.141,41.88,0
74,36,0.256,417.44,1
75,42,0.241,395.4,1
76,48,0.472,333.02,1
77,12,0.4,101.82,0
78,39,0.043,175.16,0
79,3,0.094,394.65,1
80,11,0.14,325.81,1
81,38,0.396,104.13,0
82,25,0.267,396.6,1
83,17,0.337,143.33,0
84,28,0.164,186.56,0
85,52,0.048,403.44,1
86,36,0.481,213.06,0
87,58,0.193,148.48,0
88,16,0.044,377.1,1
89,35,0.14,104.15,0
90,56,0.139,148.73,0
91,34,0.077,161.92,0
92,57,0.084,122.66,0
93,53,0.396,133.24,0
94,33,0.391,326.15,1
95,28,0.321,99.67,0
96,58,0.116,17.12,0
97,34,0.337,400.3,1
98,28,0.341,200.61,0
99,54,0.188,145.71,0
100,43,0.226,163.67,0
101,33,0.448,377.88,1
102,45,0.114,265.0,1
103,54,0.057,327.23,1
104,3,0.157,216.4,0
105,16,0.059,185.58,0
106,37,0.177,337.31,1
107,40,0.244,43.46,0
108,6,0.45,343.12,1
109,53,0.327,384.36,1
110,37,0.072,290.38,1
111,34,0.107,287.02,1
112,18,0.131,229.04,0
113,11,0.182,213.23,0
114,52,0.493,178.46,0
115,47,0.375,269.2,1
116,25,0.231,364.6,1
117,25,0.022,42.45,0
118,10,0.049,227.52,0
119,44,0.174,387.61,1
120,10,0.499,39.98,0
121,23,0.416,323.69,1
122,49,0.423,473.02,1
123,48,0.034,487.64,1
124,12,0.477,220.86,0
125,4,0.275,498.23,1
126,52,0.056,445.71,1
127,25,0.248,176.6,0
128,42,0.424,146.91,0
129,53,0.493,317.49,1
130,42,0.454,127.94,0
131,33,0.138,254.53,0
132,18,0.269,388.24,1
133,53,0.41,317.76,1
134,44,0.02,372.45,1
135,34,0.354,101.26,0
136,16,0.156,458.16,1
137,33,0.18,187.26,0
138,9,0.045,216.83,0
139,54,0.447,53.49,0
140,10,0.028,254.52,0
141,17,0.175,70.37,0
